"ocel_id","ocel_type"
invoice receipt:0,invoice receipt
invoice receipt:1,invoice receipt
invoice receipt:5,invoice receipt
invoice receipt:7,invoice receipt
invoice receipt:9,invoice receipt
invoice receipt:10,invoice receipt
invoice receipt:16,invoice receipt
invoice receipt:18,invoice receipt
invoice receipt:20,invoice receipt
invoice receipt:21,invoice receipt
invoice receipt:23,invoice receipt
invoice receipt:25,invoice receipt
invoice receipt:26,invoice receipt
invoice receipt:28,invoice receipt
invoice receipt:29,invoice receipt
invoice receipt:31,invoice receipt
invoice receipt:33,invoice receipt
invoice receipt:34,invoice receipt
invoice receipt:36,invoice receipt
invoice receipt:38,invoice receipt
invoice receipt:40,invoice receipt
invoice receipt:41,invoice receipt
invoice receipt:45,invoice receipt
invoice receipt:47,invoice receipt
invoice receipt:48,invoice receipt
invoice receipt:50,invoice receipt
invoice receipt:54,invoice receipt
invoice receipt:55,invoice receipt
invoice receipt:56,invoice receipt
invoice receipt:58,invoice receipt
invoice receipt:59,invoice receipt
invoice receipt:61,invoice receipt
invoice receipt:63,invoice receipt
invoice receipt:65,invoice receipt
invoice receipt:66,invoice receipt
invoice receipt:69,invoice receipt
invoice receipt:70,invoice receipt
invoice receipt:71,invoice receipt
invoice receipt:75,invoice receipt
invoice receipt:77,invoice receipt
invoice receipt:79,invoice receipt
invoice receipt:83,invoice receipt
invoice receipt:86,invoice receipt
invoice receipt:88,invoice receipt
invoice receipt:90,invoice receipt
invoice receipt:93,invoice receipt
invoice receipt:99,invoice receipt
invoice receipt:101,invoice receipt
invoice receipt:104,invoice receipt
invoice receipt:105,invoice receipt
invoice receipt:109,invoice receipt
invoice receipt:112,invoice receipt
invoice receipt:114,invoice receipt
invoice receipt:115,invoice receipt
invoice receipt:116,invoice receipt
invoice receipt:119,invoice receipt
invoice receipt:121,invoice receipt
invoice receipt:122,invoice receipt
invoice receipt:127,invoice receipt
invoice receipt:132,invoice receipt
invoice receipt:133,invoice receipt
invoice receipt:134,invoice receipt
invoice receipt:136,invoice receipt
invoice receipt:137,invoice receipt
invoice receipt:140,invoice receipt
invoice receipt:141,invoice receipt
invoice receipt:143,invoice receipt
invoice receipt:147,invoice receipt
invoice receipt:148,invoice receipt
invoice receipt:149,invoice receipt
invoice receipt:152,invoice receipt
invoice receipt:154,invoice receipt
invoice receipt:155,invoice receipt
invoice receipt:156,invoice receipt
invoice receipt:159,invoice receipt
invoice receipt:160,invoice receipt
invoice receipt:161,invoice receipt
invoice receipt:164,invoice receipt
invoice receipt:167,invoice receipt
invoice receipt:168,invoice receipt
invoice receipt:170,invoice receipt
invoice receipt:172,invoice receipt
invoice receipt:173,invoice receipt
invoice receipt:175,invoice receipt
invoice receipt:177,invoice receipt
invoice receipt:178,invoice receipt
invoice receipt:185,invoice receipt
invoice receipt:186,invoice receipt
invoice receipt:188,invoice receipt
invoice receipt:189,invoice receipt
invoice receipt:191,invoice receipt
invoice receipt:192,invoice receipt
invoice receipt:194,invoice receipt
invoice receipt:195,invoice receipt
invoice receipt:196,invoice receipt
invoice receipt:198,invoice receipt
invoice receipt:199,invoice receipt
invoice receipt:201,invoice receipt
invoice receipt:202,invoice receipt
invoice receipt:204,invoice receipt
invoice receipt:205,invoice receipt
invoice receipt:206,invoice receipt
invoice receipt:208,invoice receipt
invoice receipt:209,invoice receipt
invoice receipt:211,invoice receipt
invoice receipt:213,invoice receipt
invoice receipt:214,invoice receipt
invoice receipt:216,invoice receipt
invoice receipt:217,invoice receipt
invoice receipt:218,invoice receipt
invoice receipt:220,invoice receipt
invoice receipt:221,invoice receipt
invoice receipt:222,invoice receipt
invoice receipt:225,invoice receipt
invoice receipt:227,invoice receipt
invoice receipt:228,invoice receipt
invoice receipt:231,invoice receipt
invoice receipt:232,invoice receipt
invoice receipt:234,invoice receipt
invoice receipt:235,invoice receipt
invoice receipt:237,invoice receipt
invoice receipt:238,invoice receipt
invoice receipt:240,invoice receipt
invoice receipt:241,invoice receipt
invoice receipt:243,invoice receipt
invoice receipt:244,invoice receipt
invoice receipt:246,invoice receipt
invoice receipt:248,invoice receipt
invoice receipt:251,invoice receipt
invoice receipt:252,invoice receipt
invoice receipt:253,invoice receipt
invoice receipt:255,invoice receipt
invoice receipt:257,invoice receipt
invoice receipt:259,invoice receipt
invoice receipt:260,invoice receipt
invoice receipt:263,invoice receipt
invoice receipt:264,invoice receipt
invoice receipt:266,invoice receipt
invoice receipt:267,invoice receipt
invoice receipt:269,invoice receipt
invoice receipt:271,invoice receipt
invoice receipt:274,invoice receipt
invoice receipt:278,invoice receipt
invoice receipt:279,invoice receipt
invoice receipt:280,invoice receipt
invoice receipt:283,invoice receipt
invoice receipt:284,invoice receipt
invoice receipt:285,invoice receipt
