"ocel_id","ocel_type"
vh130,Vehicle
vh131,Vehicle
vh132,Vehicle
vh133,Vehicle
vh134,Vehicle
vh135,Vehicle
cr1961,Container
cr1968,Container
cr1982,Container
cr1986,Container
cr1988,Container
cr1991,Container
cr2002,Container
cr2003,Container
cr2004,Container
cr2005,Container
cr2006,Container
cr2007,Container
cr2009,Container
cr2010,Container
cr2012,Container
cr2013,Container
cr2014,Container
cr2015,Container
cr2016,Container
cr2017,Container
cr2020,Container
cr2021,Container
cr2022,Container
cr2023,Container
cr2024,Container
